name,crunchlink,category,country,state,city,round,date,year,money
BlueArc,/organization/bluearc,Web Hosting,USA,CA,San Jose,B,2000-01-01,2000,"28,000,000"
ChoiceStream,/organization/choicestream,Advertising,USA,MA,Boston,seed,2000-01-01,2000,"15,000,000"
Clarity Payment Solutions,/organization/clarity-payment-solutions,Payments,USA,NY,New York,venture,2000-01-01,2000,"19,000,000"
CustomInk,/organization/customink,Fashion,USA,VA,Fairfax,seed,2000-01-01,2000,"600,000"
E Ink,/organization/eink,Hardware + Software,USA,MA,Cambridge,B,2000-01-01,2000,"37,000,000"
"Gomez, Inc.",/organization/gomez-inc,Consulting,USA,MA,Lexington,seed,2000-01-01,2000,"7,000,000"
Lockstream,/organization/lockstream,Digital Rights Management,USA,WA,Bellevue,C,2000-01-01,2000,"15,000,000"
LRN,/organization/lrn,Information Services,USA,NY,New York,A,2000-01-01,2000,"30,000,000"
MarketBridge,/organization/marketbridge,Analytics,USA,MD,Bethesda,seed,2000-01-01,2000,"5,000,000"
Marshad Technology Group,/organization/marshad-technology-group,Advertising,USA,NY,New York,seed,2000-01-01,2000,"2,000,000"
OpenAir,/organization/openair,Software,USA,MA,Boston,venture,2000-01-01,2000,"16,000,000"
OpenTable,/organization/opentable,Hospitality,USA,CA,San Francisco,B,2000-01-01,2000,"10,000,000"
Overflow Cafe,/organization/overflow-cafe,B2B,CAN,ON,Toronto,angel,2000-01-01,2000,"172,361"
Elance,/organization/elance,Curated Web,USA,CA,Mountain View,A,2000-02-01,2000,"12,000,000"
Enkia,/organization/enkia,Software,USA,GA,Atlanta,A,2000-02-01,2000,"2,050,000"
"Gomez, Inc.",/organization/gomez-inc,Consulting,USA,MA,Lexington,A,2000-02-01,2000,"28,500,000"
IronPlanet,/organization/ironplanet,E-Commerce,USA,CA,Pleasanton,A,2000-02-01,2000,"10,968,800"
Navic Networks,/organization/navic-networks,Advertising,USA,MA,Waltham,A,2000-02-01,2000,"2,000,000"
PowerDsine,/organization/powerdsine,VoIP,USA,CA,Aliso Viejo,D,2000-02-01,2000,"22,000,000"
AirClic,/organization/airclic,Mobile,USA,PA,Feasterville Trevose,A,2000-03-01,2000,"15,000,000"
Cafe Press,/organization/cafepress,E-Commerce,USA,CO,Louisville,A,2000-03-01,2000,"1,200,000"
Digital Envoy,/organization/digital-envoy,Analytics,USA,GA,Norcross,angel,2000-03-01,2000,"1,200,000"
Goldpocket Interactive,/organization/goldpocket-interactive,Software,USA,CA,Los Angeles,B,2000-03-01,2000,"43,000,000"
Pandora Media,/organization/pandora,Music,USA,CA,Oakland,A,2000-03-01,2000,"1,500,000"
Rackspace,/organization/rackspace,Cloud Computing,USA,TX,San Antonio,venture,2000-03-01,2000,"11,500,000"
2Wire,/organization/2wire,Curated Web,USA,CA,San Jose,C,2000-04-01,2000,"53,500,000"
Blue Nile,/organization/blue-nile,E-Commerce,USA,WA,Seattle,B,2000-04-01,2000,"42,000,000"
GCT Semiconductor,/organization/gct-semiconductor,Semiconductors,USA,CA,San Jose,B,2000-04-01,2000,"14,000,000"
PayPal,/organization/paypal,P2P Money Transfer,USA,CA,San Jose,C,2000-04-01,2000,"100,000,000"
Quisic,/organization/quisic,Education,USA,CA,Los Angeles,A,2000-04-01,2000,"42,000,000"
Action Engine,/organization/actionengine,Mobile,USA,WA,Bellevue,A,2000-05-01,2000,"7,700,000"
Answers Corporation,/organization/answers-corporation,Information Technology,USA,MO,Saint Louis,D,2000-05-01,2000,"28,000,000"
"Axiom8, Inc.",/organization/axiom8-inc-,Investment Management,USA,CT,Middletown,A,2000-05-01,2000,"10,000,000"
Bandwave Systems,/organization/bandwave-systems,Web Hosting,USA,NJ,Burlington,seed,2000-05-01,2000,"155,000"
Cooking.com,/organization/cooking-com,Recipes,USA,CA,Marina Del Rey,E,2000-05-01,2000,"35,000,000"
IdeaForest,/organization/ideaforest,Web Browsers,USA,CA,El Segundo,B,2000-05-01,2000,"21,000,000"
Masterseek,/organization/masterseek,Search,USA,NV,Carson City,angel,2000-05-01,2000,"2,000,000"
Nominum,/organization/nominum,Sales and Marketing,USA,CA,Redwood City,A,2000-05-01,2000,"5,000,000"
eHarmony,/organization/eharmony,Curated Web,USA,CA,Santa Monica,A,2000-06-01,2000,"3,000,000"
Navic Networks,/organization/navic-networks,Advertising,USA,MA,Waltham,B,2000-06-01,2000,"20,000,000"
Opsware,/organization/opsware,Software,USA,CA,Sunnyvale,B,2000-06-01,2000,"120,000,000"
Epocrates,/organization/epocrates,Mobile,USA,CA,San Mateo,B,2000-08-01,2000,"35,000,000"
HeyAnita,/organization/heyanita-inc,Software,USA,CA,Burbank,seed,2000-08-01,2000,"22,300,000"
PatientKeeper,/organization/patientkeeper,Software,USA,MA,Waltham,C,2000-08-01,2000,"43,000,000"
comScore,/organization/comscore,Curated Web,USA,VA,Reston,A,2000-09-01,2000,"30,600,000"
DivX,/organization/divx,Software,USA,CA,San Diego,A,2000-09-01,2000,"5,000,000"
Elance,/organization/elance,Curated Web,USA,CA,Mountain View,B,2000-09-01,2000,"50,000,000"
eLibs.com,/organization/elibs-com,Entertainment,USA,FL,Pompano Beach,seed,2000-09-01,2000,"100,000"
FOB.com,/organization/fob-com,Web Hosting,USA,IL,Chicago,A,2000-09-01,2000,"44,500,000"
PerfectServe,/organization/perfectserve,Health and Wellness,USA,TN,Knoxville,A,2000-09-01,2000,"1,000,000"
Aperto Networks,/organization/aperto-networks,Mobile,USA,CA,Milpitas,B,2000-10-01,2000,"26,000,000"
OpenTable,/organization/opentable,Hospitality,USA,CA,San Francisco,C,2000-10-01,2000,"36,000,000"
ACTIVE Network,/organization/activenetwork,Software,USA,TX,Dallas,C,2000-11-01,2000,"19,000,000"
Compete,/organization/compete,Advertising,USA,MA,Boston,A,2000-11-01,2000,"6,000,000"
Ironwood Pharmaceuticals,/organization/ironwood-pharmaceuticals,Health Care,USA,MA,Cambridge,B,2000-11-01,2000,"23,000,000"
Athenahealth,/organization/athenahealth,Enterprise Software,USA,MA,Watertown,B,2000-12-01,2000,"30,000,000"
Dynamics Direct,/organization/dynamics-direct,Email,USA,CA,Valencia,B,2000-12-01,2000,"12,500,000"
Milagen,/organization/milagen,Development Platforms,USA,CA,Emeryville,A,2000-12-01,2000,"831,484"
Mintera,/organization/mintera,Hardware + Software,USA,MA,Acton,B,2000-12-01,2000,"26,000,000"
OQO,/organization/oqo,Computers,USA,CA,San Francisco,A,2000-12-01,2000,"800,000"
BlueArc,/organization/bluearc,Web Hosting,USA,CA,San Jose,C,2001-01-01,2001,"72,000,000"
Cymbet,/organization/cymbet,Semiconductors,USA,MN,Elk River,A,2001-01-01,2001,"4,500,000"
Endeca,/organization/endeca,Enterprises,USA,MA,Cambridge,A,2001-01-01,2001,"10,000,000"
Equallogic,/organization/equallogic,Enterprise Software,USA,NH,Nashua,A,2001-01-01,2001,"12,000,000"
FusionOps,/organization/fusionops,Subscription Businesses,USA,CA,Sunnyvale,seed,2001-01-01,2001,"1,400,000"
LiveOps,/organization/liveops,Cloud Computing,USA,CA,Redwood City,A,2001-01-01,2001,"1,000,000"
Myrio,/organization/myrio,Television,USA,WA,Bothell,venture,2001-01-01,2001,"20,500,000"
Percutaneous Valve Technologies (PVT),/organization/percutaneous-valve-technologies-pvt,Medical Devices,USA,NJ,Fort Lee,A,2001-01-01,2001,"5,500,000"
PicassoMio.com,/organization/picassomio-com,Marketplaces,USA,FL,Boca Raton,seed,2001-01-01,2001,"105,000"
"Gomez, Inc.",/organization/gomez-inc,Consulting,USA,MA,Lexington,B,2001-02-01,2001,"5,600,000"
INPHI,/organization/inphi,Semiconductors,USA,CA,Santa Clara,A,2001-02-01,2001,"12,100,000"
Lightspan Inc.,/organization/lightspan-inc,Education,USA,CA,San Diego,venture,2001-02-01,2001,"100,000,000"
Navic Networks,/organization/navic-networks,Advertising,USA,MA,Waltham,C,2001-02-01,2001,"20,000,000"
PayPal,/organization/paypal,P2P Money Transfer,USA,CA,San Jose,D,2001-02-01,2001,"90,000,000"
Atom Entertainment,/organization/atom-entertainment,Games,USA,CA,San Francisco,A,2001-03-01,2001,"22,900,000"
AtomShockwave,/organization/atomshockwave-corp,Games,USA,CA,Glendale,venture,2001-03-01,2001,"22,900,000"
Drug Abuse Sciences,/organization/drug-abuse-sciences,Biotechnology,USA,CA,Menlo Park,A,2001-03-01,2001,"46,141,068"
Heavy,/organization/heavy,Advertising,USA,NY,New York,A,2001-03-01,2001,"3,000,000"
ITI Tech,/organization/iti-tech,Medical Professionals,USA,IL,Homewood,A,2001-03-01,2001,"100,000"
BG Medicine,/organization/bg-medicine,Health Care,USA,MA,Waltham,A,2001-04-01,2001,"23,735,300"
Cafe Press,/organization/cafepress,E-Commerce,USA,CO,Louisville,A,2001-05-01,2001,"300,000"
CipherMax,/organization/ciphermax,Security,USA,CA,San Jose,A,2001-05-01,2001,"26,000,000"
Cyclacel Pharmaceuticals,/organization/cyclacel-pharmaceuticals,Biotechnology,USA,NJ,Berkeley Heights,C,2001-06-01,2001,"48,218,802"
Blue Nile,/organization/blue-nile,E-Commerce,USA,WA,Seattle,C,2001-07-01,2001,"7,000,000"
comScore,/organization/comscore,Curated Web,USA,VA,Reston,C,2001-08-01,2001,"15,000,000"
Marketwired,/organization/marketwired,Advertising,CAN,ON,Toronto,B,2001-08-01,2001,"2,000,000"
Athenix,/organization/athenix,Biotechnology,USA,NC,Raleigh,A,2001-09-01,2001,"8,000,000"
2Wire,/organization/2wire,Curated Web,USA,CA,San Jose,D,2001-10-01,2001,"61,000,000"
Danger,/organization/danger,Software,USA,CA,Palo Alto,B,2001-10-01,2001,"36,000,000"
"Gomez, Inc.",/organization/gomez-inc,Consulting,USA,MA,Lexington,B,2001-10-01,2001,"9,300,000"
Nantero,/organization/nantero,Nanotechnology,USA,MA,Woburn,A,2001-10-01,2001,"6,000,000"
AutoGenomics,/organization/autogenomics,Biotechnology,USA,CA,Vista,A,2001-11-01,2001,"5,000,000"
Endeca,/organization/endeca,Enterprises,USA,MA,Cambridge,B,2001-11-01,2001,"15,000,000"
"Gomez, Inc.",/organization/gomez-inc,Consulting,USA,MA,Lexington,venture,2001-11-01,2001,"3,500,000"
MySQL,/organization/mysql,Databases,USA,CA,Cupertino,A,2001-11-01,2001,"1,800,000"
ACTIVE Network,/organization/activenetwork,Software,USA,TX,Dallas,D,2001-12-01,2001,"11,200,000"
ForeScout,/organization/forescout,Security,USA,CA,Campbell,B,2001-12-01,2001,"12,000,000"
Marketwired,/organization/marketwired,Advertising,CAN,ON,Toronto,A,2001-12-01,2001,"4,000,000"
nLIGHT Corp.,/organization/nlight,Lasers,USA,OR,Hillsboro,A,2001-12-01,2001,"9,700,000"
Affinity,/organization/affinity-com,Advertising,USA,IL,Illinois City,venture,2002-01-01,2002,"25,000,000"
Approva,/organization/approva,Enterprise Software,USA,VA,Reston,A,2002-01-01,2002,"3,100,000"
AtriCure,/organization/atricure,Medical Devices,USA,OH,West Chester,venture,2002-01-01,2002,"3,500,000"
Blazent,/organization/blazent,Enterprise Software,USA,CA,San Mateo,A,2002-01-01,2002,"4,200,000"
Boomi,/organization/boomi,Cloud Computing,USA,PA,Berwyn,angel,2002-01-01,2002,"900,000"
BrainMass,/organization/brainmass,Education,CAN,ON,Newmarket,seed,2002-01-01,2002,"469,542"
CipherMax,/organization/ciphermax,Security,USA,CA,San Jose,venture,2002-01-01,2002,"22,000,000"
"Gomez, Inc.",/organization/gomez-inc,Consulting,USA,MA,Lexington,venture,2002-01-01,2002,"5,000,000"
iLike,/organization/ilike,Social Media,USA,WA,Seattle,angel,2002-01-01,2002,"700,000"
IMT (Innovative Micro Technology),/organization/imt-innovative-micro-technology,Biotechnology,USA,CA,Santa Barbara,venture,2002-01-01,2002,"5,000,000"
MarkLogic,/organization/marklogic,Enterprise Software,USA,CA,San Carlos,A,2002-01-01,2002,"6,000,000"
NetSpend,/organization/netspend,Mobile,USA,TX,Austin,C,2002-01-01,2002,"5,330,000"
Data Sciences International,/organization/data-sciences-international,Electronics,USA,MN,Saint Paul,A,2002-02-01,2002,"12,000,000"
Dobleas,/organization/dobleas,Advertising,USA,NY,New York,A,2002-02-01,2002,"4,000,000"
eSilicon,/organization/esilicon,Semiconductors,USA,CA,Sunnyvale,C,2002-02-01,2002,"16,624,994"
Location Labs,/organization/location-labs,Security,USA,CA,Emeryville,A,2002-02-01,2002,"9,800,000"
Passlogix,/organization/passlogix,Enterprise Software,USA,NY,New York,C,2002-02-01,2002,"11,500,000"
PowerDsine,/organization/powerdsine,VoIP,USA,CA,Aliso Viejo,E,2002-02-01,2002,"30,000,000"
cVidya,/organization/revenue-assurance-cvidya,Software,USA,FL,Plantation,A,2002-03-01,2002,"3,000,000"
MessageOne,/organization/messageone,Messaging,USA,TX,Austin,C,2002-03-01,2002,"10,000,000"
170 Systems,/organization/170-systems,Software,USA,MA,Bedford,A,2002-04-01,2002,"14,000,000"
ArcSight,/organization/arcsight-inc,Security,USA,CA,Palo Alto,B,2002-04-01,2002,"9,500,000"
DealerTrack,/organization/dealertrack,Business Services,USA,NY,Hempstead,venture,2002-04-01,2002,"10,000,000"
Ironwood Pharmaceuticals,/organization/ironwood-pharmaceuticals,Health Care,USA,MA,Cambridge,C,2002-04-01,2002,"26,000,000"
Lancope,/organization/lancope,Security,USA,LA,Georgia,A,2002-04-01,2002,"5,500,000"
Action Engine,/organization/actionengine,Mobile,USA,WA,Bellevue,B,2002-05-01,2002,"5,000,000"
ID Analytics,/organization/id-analytics,Enterprise Software,USA,CA,San Diego,A,2002-05-01,2002,"10,000,000"
Nominum,/organization/nominum,Sales and Marketing,USA,CA,Redwood City,B,2002-05-01,2002,"10,000,000"
comScore,/organization/comscore,Curated Web,USA,VA,Reston,D,2002-06-01,2002,"20,000,000"
Cosential,/organization/cosential,Software,USA,TX,Austin,B,2002-06-01,2002,"250,000"
DivX,/organization/divx,Software,USA,CA,San Diego,B,2002-06-01,2002,"6,000,000"
HomeSphere,/organization/homesphere,SaaS,USA,CO,Lakewood,C,2002-06-01,2002,"2,000,000"
IronPort Systems,/organization/ironport,Security,USA,CA,San Bruno,B,2002-06-01,2002,"16,500,000"
Image Metrics,/organization/image-metrics,Graphics,USA,CA,Santa Monica,A,2002-07-01,2002,"4,163,460"
Motus Corporation,/organization/motus-corporation,Software,USA,MA,Cambridge,venture,2002-07-01,2002,"1,022,000"
ProClarity Corporation,/organization/proclarity-corporation,Analytics,USA,ID,Boise,venture,2002-07-01,2002,"7,750,000"
PGP Corporation,/organization/pgp-corporation,Software,USA,CA,Menlo Park,A,2002-08-01,2002,"14,000,000"
BroadSoft,/organization/broadsoft,Software,USA,MD,Gaithersburg,C,2002-09-01,2002,"32,500,000"
CipherMax,/organization/ciphermax,Security,USA,CA,San Jose,B,2002-09-01,2002,"25,000,000"
eSilicon,/organization/esilicon,Semiconductors,USA,CA,Sunnyvale,D,2002-09-01,2002,"9,426,337"
Exajoule,/organization/exajoule,Technology,USA,CA,Palo Alto,seed,2002-09-01,2002,"500,000"
Glaukos,/organization/glaukos,Health Care,USA,CA,Laguna Hills,A,2002-09-01,2002,"10,000,000"
Gracenote,/organization/gracenote,Music,USA,CA,Emeryville,C,2002-09-01,2002,"9,500,000"
Ember,/organization/ember,Real Time,USA,CA,Irvine,B,2002-10-01,2002,"20,000,000"
HeyAnita,/organization/heyanita-inc,Software,USA,CA,Burbank,D,2002-10-01,2002,"7,000,000"
Mr. Youth,/organization/mr-youth,Advertising,USA,NY,New York,seed,2002-10-01,2002,"100,000"
OQO,/organization/oqo,Computers,USA,CA,San Francisco,B,2002-10-01,2002,"5,800,000"
2Wire,/organization/2wire,Curated Web,USA,CA,San Jose,E,2002-11-01,2002,"27,500,000"
GCT Semiconductor,/organization/gct-semiconductor,Semiconductors,USA,CA,San Jose,C,2002-11-01,2002,"38,000,000"
GMI Ratings,/organization/gmi-ratings,Enterprise Software,USA,NY,New York,A,2002-11-01,2002,"5,000,000"
Infotrieve,/organization/infotrieve,Consulting,USA,CT,Wilton,seed,2002-11-01,2002,"2,079,000"
Knovel,/organization/knovel,Enterprise Software,USA,NY,New York,venture,2002-11-01,2002,"3,000,000"
Plaxo,/organization/plaxo,Curated Web,USA,CA,Sunnyvale,A,2002-11-01,2002,"3,800,000"
Aperto Networks,/organization/aperto-networks,Mobile,USA,CA,Milpitas,C,2002-12-01,2002,"22,000,000"
Berkeley Design Automation,/organization/berkeley-design-automation,Nanotechnology,USA,CA,Santa Clara,A,2002-12-01,2002,"11,250,000"
Cyota,/organization/cyota,Security,USA,NY,New York,D,2002-12-01,2002,"8,000,000"
Diodes Incorporated,/organization/diodes-incorporated,Semiconductors,USA,TX,Plano,venture,2002-12-01,2002,"14,000,000"
Gotuit,/organization/gotuitmedia,Curated Web,USA,MA,Woburn,A,2002-12-01,2002,"6,000,000"
Meetup,/organization/meetup,Communities,USA,NY,New York,A,2002-12-01,2002,"1,000,000"
nLIGHT Corp.,/organization/nlight,Lasers,USA,OR,Hillsboro,B,2002-12-01,2002,"43,600,000"
AlterPoint,/organization/alterpoint,Software,USA,TX,Austin,A,2003-01-01,2003,"8,800,000"
Apieron,/organization/apieron,Biotechnology,USA,CA,Menlo Park,A,2003-01-01,2003,"4,600,000"
BlueArc,/organization/bluearc,Web Hosting,USA,CA,San Jose,D,2003-01-01,2003,"47,000,000"
CipherMax,/organization/ciphermax,Security,USA,CA,San Jose,venture,2003-01-01,2003,"11,000,000"
ClearContext,/organization/clearcontext,Email,USA,CO,Englewood,angel,2003-01-01,2003,"500,000"
CodeRyte,/organization/coderyte,Health and Wellness,USA,MD,Bethesda,A,2003-01-01,2003,"1,700,000"
Days of Wonder,/organization/days-of-wonder,Games,USA,CA,Los Altos,angel,2003-01-01,2003,"600,000"
Drug Abuse Sciences,/organization/drug-abuse-sciences,Biotechnology,USA,CA,Menlo Park,B,2003-01-01,2003,"1,897,818"
Fixstars,/organization/fixstars,Optimization,USA,CA,Sunnyvale,A,2003-01-01,2003,"1,770,455"
FlightStats,/organization/flightstats,Digital Signage,USA,OR,Portland,angel,2003-01-01,2003,"1,500,000"
Hayneedle,/organization/hayneedle,Lifestyle,USA,NE,Omaha,A,2003-01-01,2003,"22,000,000"
Kiva Systems,/organization/kiva-systems,Hardware,USA,MA,North Reading,A,2003-01-01,2003,"1,600,000"
MarkLogic,/organization/marklogic,Enterprise Software,USA,CA,San Carlos,B,2003-01-01,2003,"12,000,000"
MobiTV,/organization/mobitv,Games,USA,CA,Emeryville,A,2003-01-01,2003,"6,300,000"
Omni Consumer Products,/organization/omni-consumer-products,Robotics,USA,MI,Detroit,B,2003-01-01,2003,"19,500,000"
Paxfire,/organization/paxfire,Software,USA,VA,Sterling,seed,2003-01-01,2003,"100,000"
Percutaneous Valve Technologies (PVT),/organization/percutaneous-valve-technologies-pvt,Medical Devices,USA,NJ,Fort Lee,B,2003-01-01,2003,"14,000,000"
CashEdge,/organization/cashedge,Finance,USA,NY,New York,B,2003-02-01,2003,"5,000,000"
Danger,/organization/danger,Software,USA,CA,Palo Alto,D,2003-02-01,2003,"35,000,000"
Diodes Incorporated,/organization/diodes-incorporated,Semiconductors,USA,TX,Plano,venture,2003-02-01,2003,"3,000,000"
Fangtek,/organization/fangtek,Manufacturing,USA,CA,Cupertino,A,2003-02-01,2003,"2,000,000"
Force10 Networks,/organization/force10-networks,E-Commerce,USA,CA,San Jose,venture,2003-02-01,2003,"41,000,000"
Nominum,/organization/nominum,Sales and Marketing,USA,CA,Redwood City,C,2003-02-01,2003,"10,000,000"
PhatNoise,/organization/phatnoise,Automotive,USA,CA,Los Angeles,A,2003-02-01,2003,"3,400,000"
Action Engine,/organization/actionengine,Mobile,USA,WA,Bellevue,C,2003-03-01,2003,"15,500,000"
Blazent,/organization/blazent,Enterprise Software,USA,CA,San Mateo,B,2003-03-01,2003,"9,200,000"
Equallogic,/organization/equallogic,Enterprise Software,USA,NH,Nashua,B,2003-03-01,2003,"15,000,000"
EVault,/organization/evault,Data Security,USA,CA,San Francisco,venture,2003-03-01,2003,"6,000,000"
Everyday Health,/organization/everyday-health,Health and Wellness,USA,NY,New York,A,2003-03-01,2003,"1,725,000"
HealthMedia,/organization/healthmedia,Health and Wellness,USA,MI,Ann Arbor,venture,2003-03-01,2003,"3,000,000"
Lancope,/organization/lancope,Security,USA,LA,Georgia,B,2003-03-01,2003,"5,000,000"
Lumigent Technologies,/organization/lumigent,Software,USA,MA,Acton,venture,2003-03-01,2003,"7,000,000"
Metreos Corporation,/organization/metreos-corporation,VoIP,USA,TX,Austin,seed,2003-03-01,2003,"555,000"
Approva,/organization/approva,Enterprise Software,USA,VA,Reston,A,2003-04-01,2003,"3,500,000"
Dilithium Networks,/organization/dilithium-networks,Mobile,USA,CA,Petaluma,B,2003-04-01,2003,"10,000,000"
Elance,/organization/elance,Curated Web,USA,CA,Mountain View,venture,2003-04-01,2003,"6,800,000"
Ephox,/organization/ephox,Software,USA,CA,Palo Alto,seed,2003-04-01,2003,"650,000"
ExaGrid Systems,/organization/exagrid-systems,Enterprise Software,USA,MA,Westborough,A,2003-04-01,2003,"5,617,024"
FiberZone Networks,/organization/fiberzone-networks,Analytics,USA,MD,Bethesda,seed,2003-04-01,2003,"3,000,000"
GameFly,/organization/gamefly,Games,USA,CA,Los Angeles,B,2003-04-01,2003,"4,573,810"
Nanosys,/organization/nanosys,Nanotechnology,USA,CA,Milpitas,B,2003-04-01,2003,"30,000,000"
Entone Technologies,/organization/entone-technologies,Hardware + Software,USA,CA,Cupertino,A,2003-05-01,2003,"9,500,000"
Nexaweb Technologies,/organization/nexaweb-technologies,Web Development,USA,MA,Burlington,A,2003-05-01,2003,"4,300,000"
Akimbo,/organization/akimbo,Games,USA,CA,San Mateo,seed,2003-06-01,2003,"4,200,000"
